date,nav
2021-04-08,1.6883900739678417
2021-04-09,1.6768256769279388
2021-04-12,1.6333803001378717
2021-04-13,1.6352731796274915
2021-04-14,1.6746838496708438
2021-04-15,1.6879588262305936
2021-04-16,1.68838865493383
2021-04-19,1.7446793644500627
2021-04-20,1.7562824165042104
2021-04-21,1.7447641161894958
2021-04-22,1.768418895433298
2021-04-23,1.7934707859578172
2021-04-26,1.8111951839279894
2021-04-27,1.835659920147189
2021-04-28,1.8589942898615486
2021-04-29,1.873550787551174
2021-04-30,1.9119376537274666
2021-05-06,1.9427966668145067
2021-05-07,1.932092284968031
2021-05-10,1.9882603184455332
2021-05-11,1.9477932044891946
2021-05-12,1.9853554291849616
2021-05-13,1.9294460221303933
2021-05-14,1.9367278475078868
2021-05-17,1.9860940714441204
2021-05-18,2.0381329789168054
2021-05-19,2.054952838563201
2021-05-20,1.992888676565698
2021-05-21,2.0336309390120344
2021-05-24,2.020807229737493
2021-05-25,2.045026750332623
2021-05-26,2.0434856557607812
2021-05-27,2.06776313232088
2021-05-28,2.092292230268925
2021-05-31,2.17579622436431
2021-06-01,2.1503618245912812
2021-06-02,2.10293075901814
2021-06-03,2.0918827872369645
2021-06-04,2.12060047941021
2021-06-07,2.150019682188451
2021-06-08,2.130163319037051
2021-06-09,2.168160276131996
2021-06-10,2.2388600752444017
2021-06-11,2.271963930563434
2021-06-15,2.2756846121773213
2021-06-16,2.158899669519888
2021-06-17,2.240481323407097
2021-06-18,2.3043870323486857
2021-06-21,2.34739598478518
2021-06-22,2.3784072923943693
2021-06-23,2.4273582715367326
2021-06-24,2.4055692185159696
2021-06-25,2.4567810756310933
2021-06-28,2.4805050256192844
2021-06-29,2.4651274434838104
2021-06-30,2.492197025007311
2021-07-01,2.4647912840622968
2021-07-02,2.4519533055820846
2021-07-05,2.5402167779110996
2021-07-06,2.5072771354483003
2021-07-07,2.5815495177029115
2021-07-08,2.598498678808373
2021-07-09,2.6593815955371354
2021-07-12,2.767901869868027
2021-07-13,2.7549831616516416
2021-07-14,2.7025411856464956
2021-07-15,2.7911997884644415
2021-07-16,2.802680093396052
2021-07-19,2.7350999238768554
2021-07-20,2.770571913170515
2021-07-21,2.9022082979883055
2021-07-22,2.9604573976317914
2021-07-23,2.9174437822381067
2021-07-26,2.8732606896553103
2021-07-27,2.724379579560586
2021-07-28,2.658148016311996
2021-07-29,2.811663260240123
2021-07-30,2.81188640811792
2021-08-02,2.812109573705866
2021-08-03,2.8123327570053664
2021-08-04,2.8125559580178274
2021-08-05,2.8127791767446544
2021-08-06,2.8130024131872533
2021-08-09,2.81322566734703
2021-08-10,2.813448939225391
2021-08-11,2.813672228823742
2021-08-12,2.81389553614349
2021-08-13,2.8141188611860413
2021-08-16,2.814342203952802
2021-08-17,2.8145655644451795
2021-08-18,2.81478894266458
2021-08-19,2.8150123386124104
2021-08-20,2.815235752290078
2021-08-23,2.8154591836989904
2021-08-24,2.815682632840554
2021-08-25,2.8159060997161762
2021-08-26,2.816129584327265
2021-08-27,2.8163530866752273
2021-08-30,2.8165766067614717
2021-08-31,2.8168001445874054
2021-09-01,2.817023700154436
2021-09-02,2.8172472734639724
2021-09-03,2.8174708645174222
2021-09-06,2.8176944733161937
2021-09-07,2.817918099861695
2021-09-08,2.818141744155335
2021-09-09,2.818365406198522
2021-09-10,2.8185890859926648
2021-09-13,2.818812783539172
2021-09-14,2.819036498839453
2021-09-15,2.8192602318949165
2021-09-16,2.8194839827069718
2021-09-17,2.819707751277028
2021-09-22,2.8199315376064944
2021-09-23,2.820155341696781
2021-09-24,2.8203791635492967
2021-09-27,2.8206030031654516
2021-09-28,2.8208268605466555
2021-09-29,2.821050735694318
2021-09-30,2.8212746286098493
2021-10-08,2.8214985392946597
2021-10-11,2.8217224677501593
2021-10-12,2.821946413977759
2021-10-13,2.8221703779788685
2021-10-14,2.822394359754899
2021-10-15,2.8226183593072602
2021-10-18,2.822842376637364
2021-10-19,2.823066411746621
2021-10-20,2.8232904646364423
2021-10-21,2.823514535308239
2021-10-22,2.8237386237634223
2021-10-25,2.823962730003404
2021-10-26,2.8241868540295947
2021-10-27,2.8244109958434067
2021-10-28,2.8246351554462517
2021-10-29,2.8248593328395413
2021-11-01,2.8250835280246873
2021-11-02,2.825307741003102
2021-11-03,2.8255319717761975
2021-11-04,2.825756220345386
2021-11-05,2.8259804867120804
2021-11-08,2.8262047708776925
2021-11-09,2.826429072843635
2021-11-10,2.8266533926113215
2021-11-11,2.8268777301821637
2021-11-12,2.8271020855575753
2021-11-15,2.827326458738969
2021-11-16,2.827550849727758
2021-11-17,2.8277752585253557
2021-11-18,2.8279996851331752
2021-11-19,2.8282241295526305
2021-11-22,2.828448591785135
2021-11-23,2.8286730718321023
2021-11-24,2.8288975696949463
2021-11-25,2.829122085375081
2021-11-26,2.8293466188739207
2021-11-29,2.829571170192879
2021-11-30,2.8297957393333704
2021-12-01,2.8300203262968098
2021-12-02,2.830244931084611
2021-12-03,2.8304695536981894
2021-12-06,2.8306941941389594
2021-12-07,2.8309188524083355
2021-12-08,2.831143528507733
2021-12-09,2.831368222438567
2021-12-10,2.8315929342022526
2021-12-13,2.831817663800205
2021-12-14,2.8320424112338403
2021-12-15,2.869830048755511
2021-12-16,2.8941042656809293
2021-12-17,2.8504719831800935
2021-12-20,2.799321754749967
2021-12-21,2.839585724018136
2021-12-22,2.8543587005594926
2021-12-23,2.9154936951325126
2021-12-24,2.846784371095715
2021-12-27,2.856378309083581
2021-12-28,2.8873990150282878
2021-12-29,2.8779828218243644
2021-12-30,2.9145622107279427
2021-12-31,2.9410115426072836
2022-01-04,2.8254859226303064
2022-01-05,2.7049217815772417
2022-01-06,2.742033867620537
2022-01-07,2.661083137679813
2022-01-10,2.6557304394355272
2022-01-11,2.6283102089811767
2022-01-12,2.7273394663271935
2022-01-13,2.648428858291809
2022-01-14,2.6486390510583404
2022-01-17,2.6488492605068372
2022-01-18,2.6490594866386235
2022-01-19,2.6492697294550234
2022-01-20,2.6494799889573613
2022-01-21,2.6496902651469614
2022-01-24,2.6499005580251476
2022-01-25,2.650110867593245
2022-01-26,2.650321193852578
2022-01-27,2.650531536804471
2022-01-28,2.650741896450249
2022-02-07,2.6509522727912374
2022-02-08,2.6511626658287604
